Actual Item Name & Use,Quantity,Order,Cost,Notes,Link to Buy,Status,Order date
Cherry MX Switches,4 (92 count),"CHERRY MX RGB Grey Switch Kit, 23 Mechanical Keyboard Switches, for DIY, Hot-Swap or Gaming Keyboards, Tactile Switch Without Click, Robust & Perceptible",$63.96,,https://www.amazon.com/Cherry-Switch-Mechanical-Keyboard-Switches/dp/B0CBS5K172/ref=sr_1_3?crid=SQZNJRRWOJFO&dib=eyJ2IjoiMSJ9.kYp2_GcQkjzaFqUjb3BmAlS_W8yvdiNcEHKZrvJkE7uC_6TND85p0SFAAc_m9GVkMIGZZbLOVklZTHnoo2MVxOwEQ7B7v7KKlThoHqs32-RZyMKSsgwfIDPGvS0NS_GrTHQyhzJxqHEURJGA9ZCoo22OpTW4XwB9izgcJ_kK6DhBLua9T3wT_u6cGLKYrv2hO7FokpLt_xKIxVQoiBq51cFkdJgXz1UZLfs_j8wJZ6rFQSKxIQvkXJZVAb65oG6lawFVu7LIh9eet3PwfkcCNNOllBem0fzCBlP17SmmBeI.3XdLX58b13a8pdRRNPHUSjCIuJug0Kh3lBp3dZ4rIOw&dib_tag=se&keywords=cherry%2Bmx%2Bswitches&qid=1753586630&s=industrial&sprefix=cherry%2Bmx%2Bswitches%2Cindustrial%2C355&sr=1-3&th=1,,
Raspberry Pi Pico,1,SC0915,$4.00,,https://www.digikey.com/en/products/detail/raspberry-pi/SC0915/13624793,,
Rotary Encoder,2,Already Own,$0.00,,N/A,,
PCB,1,Sourced from JLCPCB,$50.00,,Including Shipping,,
Diodes,90,1N4148,$3.51,,https://www.digikey.com/en/products/detail/onsemi/1N4148/458603,,
3D Printed Parts,87,Printing Legion,$20.00,,Shipping,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,Subtotal,$0.00,,,,
,,,$141.47,,,,